threshold,precision,recall,f1,accuracy,auc
0.0,0.5,1.0,0.67,0.5,0.99
0.05,0.85,0.99,0.92,0.91,0.99
0.1,0.89,0.99,0.94,0.93,0.99
0.15,0.92,0.99,0.95,0.95,0.99
0.2,0.94,0.98,0.96,0.96,0.99
0.25,0.94,0.98,0.96,0.96,0.99
0.3,0.96,0.98,0.97,0.97,0.99
0.35,0.96,0.98,0.97,0.97,0.99
0.4,0.97,0.97,0.97,0.97,0.99
0.45,0.97,0.97,0.97,0.97,0.99
0.5,0.98,0.97,0.97,0.97,0.99
0.55,0.98,0.96,0.97,0.97,0.99
0.6,0.99,0.96,0.97,0.97,0.99
0.65,0.99,0.95,0.97,0.97,0.99
0.7,0.99,0.95,0.97,0.97,0.99
0.75,0.99,0.94,0.96,0.96,0.99
0.8,0.99,0.94,0.96,0.96,0.99
0.85,0.99,0.93,0.96,0.96,0.99
0.9,0.99,0.93,0.96,0.96,0.99
0.95,0.99,0.89,0.94,0.94,0.99
1.0,0.0,0.0,0.0,0.5,0.99
